,"""address""","""bathrooms""","""country""","""distance""","""district""","""exterior""","""externalReference""","""floor""","""has360""","""has3DTour""","""hasLift""","""hasPlan""","""hasVideo""","""isParkingSpaceIncludedInPrice""","""latitude""","""longitude""","""municipality""","""neighborhood""","""newDevelopment""","""numPhotos""","""operation""","""price""","""priceByArea""","""propertyCode""","""propertyType""","""province""","""rooms""","""showAddress""","""size""","""status""","""thumbnail""","""title""","""typology""","""url""",":""address""","""newDevelopmentFinished""","""isSmokingAllowed""","""tenantGender""","""tenantNumber""","""parkingSpacePrice""","""hiddenResults""","""itemsPerPage""","""lowerRangePosition""","""numPaginations""","""paginable""","""summary""","""total""","""totalPages"""
31,"""ReginaAlvarez""",5,"""es""","""6426""","""Moncloa""",false,"""C07MAD""",,false,false,,false,false,true,40.4724474,-3.7232917,"""Madrid""","""Valdezarza""",false,36,"""sale""",980000.0,1633.0,"""82296010""","""chalet""","""Madrid""",5,false,600.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e1/4a/45/595221968.jpg""","""CasaindependienteenReginaAlvarez""","""chalet""","""https://www.idealista.com/inmueble/82296010/""",,,,,,,,,,,,,,
32,"""CalledelOlmo",2,"""es""","""51736""",,true,,"""bj""",false,false,false,false,false,,40.5335723,-3.1111745,"""Yebes""",,false,13,"""sale""",57820.0,572.0,"""84909986""","""duplex""","""Guadalajara""",2,true,101.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/44/b8/8f/649660504.jpg""","""D\u00faplexenCalledelOlmo","""flat""","""https://www.idealista.com/inmueble/84909986/""",,,,,,,,,,,,,,
33,"""CaminoValdehigueras""",1,"""es""","""59888""",,false,"""203-6875924""","""1""",false,false,false,false,false,,39.9370759,-4.0240276,"""Bargas""",,false,6,"""sale""",62500.0,856.0,"""84716317""","""flat""","""Toledo""",2,false,73.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a9/a0/f5/719807342.jpg""","""PisoenCaminoValdehigueras""",,"""https://www.idealista.com/inmueble/84716317/""",,,,,,,,,,,,,,
34,"""Calleciudadreal""",1,"""es""","""45726""",,false,"""203-5945802""","""bj""",false,false,,false,false,true,40.2417883,-4.1914854,"""Mentrida""",,false,8,"""sale""",63320.0,419.0,"""36615622""","""chalet""","""Toledo""",3,false,151.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fa/2c/67/267189870.jpg""","""ChaletadosadoenCalleciudadreal""","""chalet""","""https://www.idealista.com/inmueble/36615622/""",,,,,,,,,,,,,,
35,"""CalleZarza""",1,"""es""","""38199""",,false,"""203-6885041""","""bj""",false,false,false,false,false,true,40.1856208,-4.0365892,"""CasarrubiosdelMonte""",,false,0,"""sale""",52800.0,788.0,"""86315047""","""flat""","""Toledo""",2,false,67.0,"""good""",,"""PisoenCalleZarza""",,"""https://www.idealista.com/inmueble/86315047/""",,,,,,,,,,,,,,
36,"""CalledeSeveroOchoa""",1,"""es""","""20018""",,true,"""3247PV-CM""","""5""",true,false,,true,false,,40.2610138,-3.8218844,"""HumanesdeMadrid""",,false,31,"""sale""",132500.0,1656.0,"""85883461""","""flat""","""Madrid""",3,false,80.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/96/ba/b3/730986059.jpg""","""PisoenCalledeSeveroOchoa""",,"""https://www.idealista.com/inmueble/85883461/""",,,,,,,,,,,,,,
37,"""CalleLavanda""",2,"""es""","""54014""",,false,"""2364""",,false,false,false,false,false,,40.5928787,-3.1078499,"""Yebes""",,false,11,"""sale""",87900.0,862.0,"""82632627""","""flat""","""Guadalajara""",2,false,102.0,,"""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/77/6f/601642330.jpg""","""PisoenCalleLavanda""",,"""https://www.idealista.com/inmueble/82632627/""",,,,,,,,,,,,,,
38,"""CalleCordoba""",1,"""es""","""19013""","""Noroeste""",false,"""75000030460""",,false,false,false,false,false,,40.4552429,-3.4843663,"""TorrejondeArdoz""",,false,4,"""sale""",56200.0,892.0,"""87834534""","""flat""","""Madrid""",3,false,63.0,,"""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/2b/3f/732060698.jpg""","""PisoenCalleCordoba""",,"""https://www.idealista.com/inmueble/87834534/""",,,,,,,,,,,,,,
39,"""Carranque""",1,"""es""","""33936""",,false,"""c-4443""",,false,false,,false,false,,40.1553893,-3.9099889,"""Carranque""",,false,8,"""sale""",49500.0,3.0,"""87164784""","""chalet""","""Toledo""",1,false,18000.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d7/49/6a/713374109.jpg""","""Casaindependiente""","""chalet""","""https://www.idealista.com/inmueble/87164784/""",,,,,,,,,,,,,,
40,"""Camarena""",1,"""es""","""50175""",,false,,"""1""",false,false,true,false,false,,40.0966816,-4.1201418,"""Camarena""",,false,43,"""sale""",62178.0,888.0,"""86815754""","""flat""","""Toledo""",2,false,70.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0a/14/71/703658971.jpg""","""Piso""",,"""https://www.idealista.com/inmueble/86815754/""",,,,,,,,,,,,,,
41,"""CalledePastoraImperio""",2,"""es""","""7677""","""Chamartin""",true,"""PASTORAIMPERIO-MADRID""","""13""",false,false,true,true,false,,40.4824247,-3.675431,"""Madrid""","""Castilla""",false,9,"""sale""",388000.0,3767.0,"""87879098""","""flat""","""Madrid""",3,false,103.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1b/6c/b0/733102303.jpg""","""PisoenCalledePastoraImperio""",,"""https://www.idealista.com/inmueble/87879098/""",,,,,,,,,,,,,,
42,"""ChozasdeCanales""",1,"""es""","""45652""",,false,"""Sandra""",,false,false,,false,false,,40.0991313,-4.0442772,"""ChozasdeCanales""",,false,10,"""sale""",46500.0,310.0,"""30587041""","""chalet""","""Toledo""",3,false,150.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/75/39/39694031.jpg""","""Casaindependiente""","""chalet""","""https://www.idealista.com/inmueble/30587041/""",,,,,,,,,,,,,,
43,"""CalleBarrancodeValcaliente""",1,"""es""","""38169""",,false,"""203-6880203""","""2""",false,false,true,false,false,true,40.1864397,-4.0370945,"""CasarrubiosdelMonte""",,false,0,"""sale""",42000.0,442.0,"""83206088""","""duplex""","""Toledo""",2,false,95.0,"""good""",,"""D\u00faplexenCalleBarrancodeValcaliente""","""flat""","""https://www.idealista.com/inmueble/83206088/""",,,,,,,,,,,,,,
44,"""CalleBarrancodeValcaliente""",1,"""es""","""38365""",,false,"""203-6880202""","""1""",false,false,true,false,false,true,40.1853397,-4.0388945,"""CasarrubiosdelMonte""",,false,0,"""sale""",32700.0,448.0,"""81693535""","""flat""","""Toledo""",2,false,73.0,"""good""",,"""PisoenCalleBarrancodeValcaliente""",,"""https://www.idealista.com/inmueble/81693535/""",,,,,,,,,,,,,,
45,"""CalleBarrancodeValcaliente""",1,"""es""","""38055""",,false,"""203-6880204""","""2""",false,false,true,false,false,true,40.1881397,-4.0372945,"""CasarrubiosdelMonte""",,false,0,"""sale""",38500.0,448.0,"""83025643""","""duplex""","""Toledo""",2,false,86.0,"""good""",,"""D\u00faplexenCalleBarrancodeValcaliente""","""flat""","""https://www.idealista.com/inmueble/83025643/""",,,,,,,,,,,,,,
47,"""CalledelDoctorSanchez""",1,"""es""","""4883""","""PuentedeVallecas""",true,"""3343PV-DS""","""1""",false,false,,true,false,,40.381962,-3.6679589,"""Madrid""","""SanDiego""",false,26,"""sale""",96500.0,1206.0,"""87808789""","""flat""","""Madrid""",3,false,80.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/51/50/82/731383815.jpg""","""PisoenCalledelDoctorSanchez""",,"""https://www.idealista.com/inmueble/87808789/""",,,,,,,,,,,,,,
48,"""Arcicollar""",1,"""es""","""54670""",,false,"""105005""",,false,false,,true,false,,40.0457344,-4.1259492,"""Arcicollar""",,false,31,"""sale""",52000.0,675.0,"""86395630""","""chalet""","""Toledo""",2,false,77.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/25/42/42/692116779.jpg""","""Casaindependiente""","""chalet""","""https://www.idealista.com/inmueble/86395630/""",,,,,,,,,,,,,,
49,,3,"""es""","""8091""","""Villaverde""",true,"""9206PV-RSC""","""7""",false,false,true,true,false,true,40.3469728,-3.6759211,"""Madrid""","""Butarque""",false,41,"""sale""",320000.0,2667.0,"""87412107""","""duplex""","""Madrid""",3,false,120.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e6/89/6c/720306138.jpg""","""D\u00faplexenCalledeBerrocal""","""flat""","""https://www.idealista.com/inmueble/87412107/""","""CalledeBerrocal""",,,,,,,,,,,,,
50,"""CalleAzucenas",2,"""es""","""348437""","""Norte""",true,"""11248PE""","""3""",false,false,true,true,false,true,38.001661,-1.1253522,"""Murcia""","""ZonaJuandeBorbon""",false,29,"""sale""",310000.0,2138.0,"""86958489""","""duplex""","""Murcia""",4,true,145.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/89/d0/a0/707698255.jpg""","""D\u00faplexenCalleAzucenas","""flat""","""https://www.idealista.com/inmueble/86958489/""",,,,,,,,,,,,,,
51,"""AvenidaPONENT""",1,"""es""","""500092""","""LaFlorida-LesPlanes""",true,"""REF.838""","""3""",false,false,true,false,true,,41.3696407,2.1127809,"""HospitaletdeLlobregat""","""LesPlanes""",false,23,"""sale""",175000.0,2188.0,"""87951097""","""flat""","""Barcelona""",4,false,80.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/09/e7/2b/734932003.jpg""","""PisoenAvenidaPONENT""",,"""https://www.idealista.com/inmueble/87951097/""",,,,,,,,,,,,,,
52,"""AvenidadeJuanAntonioSamaranch",2,"""es""","""11493""","""Hortaleza""",false,"""VI-99950-p2-pl2-h3-ptaA-T7""","""2""",false,false,true,true,false,true,40.4936174,-3.6124908,"""Madrid""","""Valdebebas-Valdefuentes""",true,17,"""sale""",516000.0,3739.0,"""86116047""","""flat""","""Madrid""",3,true,138.0,"""newdevelopment""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/31/b7/54/729007197.jpg""","""PisoenAvenidadeJuanAntonioSamaranch",,"""https://www.idealista.com/obra-nueva/86116047/""",,false,,,,,,,,,,,,
53,"""CalleAiguablava""",3,"""es""","""566215""","""Urbanitzacions""",false,"""FLOPI""",,false,false,,false,true,true,41.734561,2.8237943,"""LloretdeMar""",,false,48,"""sale""",450000.0,1607.0,"""87189133""","""chalet""","""Girona""",5,false,280.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/dd/30/714081555.jpg""","""CasaindependienteenCalleAiguablava""","""chalet""","""https://www.idealista.com/inmueble/87189133/""",,,,,,,,,,,,,,
